,close,open,high,low,volume,adj_close
2020-01-02,97.01065159851167,97.28463678185464,97.4503780856651,96.58533869002392,1995342,97.01065159851167
2020-01-03,106.13377356029089,97.10692924701162,106.90251631331954,94.73091871637422,5004035,106.13377356029089
2020-01-04,94.50407372228362,105.49568263612868,106.06273961546773,94.39715920055177,3969186,94.50407372228362
2020-01-05,99.67191635093369,94.25851508892018,100.54691094359845,94.0282963608846,1099063,99.67191635093369
2020-01-06,100.24271522329806,99.754691239156,101.44749818786833,99.25711201236128,2322674,100.24271522329806
2020-01-07,106.13268897701468,100.24888448982458,106.7175193364071,100.23130007228835,2134100,106.13268897701468
2020-01-08,99.81450431416745,106.6678111863546,107.0569933632951,98.25444308726767,2257709,99.81450431416745
2020-01-09,96.58787798348824,99.81999321583304,99.86915576198359,96.39537554642287,3289996,96.58787798348824
2020-01-10,96.08218321867334,96.44696566841897,96.4913183671203,95.81749157857143,4699301,96.08218321867334
2020-01-11,97.46004225641873,95.48484372989755,99.0750669992478,94.51656213645758,7004151,97.46004225641873
2020-01-12,95.43642707509916,97.82628044679915,99.33905472366229,94.51725052436679,4039318,95.43642707509916
2020-01-13,90.4285275161977,96.12978652024026,96.23614021613528,89.7461257151917,1261471,90.4285275161977
2020-01-14,91.14340579162536,90.41721547747265,91.55565780727527,89.30852764678353,2512446,91.14340579162536
2020-01-15,92.056015095371,91.60749003563106,92.32881869732196,90.39417149605943,7165943,92.056015095371
2020-01-16,95.14992636220951,91.72709133807723,97.80918144399864,90.70509493430187,2470428,95.14992636220951
2020-01-17,94.47470454066598,94.98923347812297,96.87266748743855,93.37421572067166,1962936,94.47470454066598
2020-01-18,99.89486089478882,94.47177111991867,100.08334588314935,93.73650209884552,7912639,99.89486089478882
2020-01-19,93.51189439522442,100.2978963072242,101.58755244128453,92.93097812803441,2656655,93.51189439522442
2020-01-20,96.95003248511952,93.6395075976369,98.3291524980012,93.63907908847204,5637696,96.95003248511952
2020-01-21,94.72987399076816,96.75324960095075,97.46209739795599,93.56894675813162,2671122,94.72987399076816
2020-01-22,94.31859321208506,94.36934443404438,94.87711057618945,92.86945663693055,2156954,94.31859321208506
2020-01-23,91.72696595083671,93.65951112543158,93.77398887096253,90.97828117463337,2772021,91.72696595083671
2020-01-24,99.40980748959242,92.39873326090483,100.9085667109674,91.91721957046606,2744625,99.40980748959242
2020-01-25,94.87292417543392,99.10552961225056,101.43488496545088,94.71934668903482,3194287,94.87292417543392
2020-01-26,93.45112495311648,94.8735241336026,97.55850897305612,90.89610855522392,3723146,93.45112495311648
2020-01-27,97.58986191608902,93.4198003620162,98.43488171549032,93.35142794734548,3170839,97.58986191608902
2020-01-28,95.05369384496251,97.3110947058479,97.3707624052436,94.87894392614172,1532517,95.05369384496251
2020-01-29,92.93964168231447,95.65303135530694,95.77225891285438,92.18605747757739,4370858,92.93964168231447
2020-01-30,101.02476162852689,92.04496043719627,101.1180241402671,90.97613557824596,4571205,101.02476162852689
2020-01-31,94.01850086279293,101.75661884361244,101.85617055805112,92.02243355934444,3039346,94.01850086279293
2020-02-01,93.04288223708323,93.64818424752737,93.97143719718461,91.71359361420754,4350380,93.04288223708323
2020-02-02,93.94825016290962,92.28043107392779,94.47697410585931,91.96025239109831,3202589,93.94825016290962
2020-02-03,99.50209000892582,93.60058777829576,100.9391998434473,92.27334031375734,2922133,99.50209000892582
2020-02-04,91.35277779734334,99.71355935389134,99.73147981623042,90.55080225823026,5950285,91.35277779734334
2020-02-05,90.02410098298449,91.04099560709369,92.54340496876003,89.92459505613567,10801876,90.02410098298449
2020-02-06,89.50487917849101,89.61446900547605,89.91495960794978,89.34182181323172,2558913,89.50487917849101
